example_id,customer_text,gold_intent,verified
1,"@115850 Hello! Urgent request! Kindly update me the Location of the last order made, please! We really require it by this Tuesday (28th Dec).",ORDER_STATUS,
2,@115821 getting pretty sick of getting direct emailed from every store I order from online. What's the point of going through you?,ORDER_STATUS,
3,@115850 Hv a request guys 🙏.Placed an order but travelling out on 6th morning! Need order urgently by 5th evening. Pls help!! Actually it's in exchange to the prev.ordr which arrived today n the size of the shoes was bigger than usual. Pls help guys🙏 https://t.co/jP79nV9O0K,ORDER_STATUS,
4,"@AmazonHelp The original chat person said I did not order in time, the supervisor told me next day could not be honoured because of my address.",ORDER_STATUS,
5,@115821 shipping lets me down again. Not sure why I pay for prime or guaranteed shipping when 1-2 days really means 3-5. RIP Halloween fun🎃,ORDER_STATUS,
6,"@AmazonHelp I received the refund yesterday once processed by your billing team, I placed the order, made payment, you say order cancelled due to ctd..",ORDER_STATUS,
7,@AmazonHelp Need help with an order that has been stuck in the dispatch phase for over 5 weeks now. Should have arrived a month ago.,ORDER_STATUS,
8,"#Amazon just emailed me to let me know they lost my order. So?  You have one job, and it’s actually what you say you do. #bringmewhatiordered",ORDER_STATUS,
9,@AmazonHelp where is my product are you looting customers for order no 406-3971997-7415546 not received till now i had paid,ORDER_STATUS,
10,"Thank you @115821 #oneclick, for once again f*cking up my order",ORDER_STATUS,
11,"@115850 As a Amazon prime customer there is no diffrence of Shoppers. Still waiting for shipment from week even @23295 Ship it sooner then you guys. #Amazon #Fail Order date

21-Nov-2017

Order #

171-0390550-6849137 https://t.co/qvmd7551YX",ORDER_STATUS,
12,@115850 can some1 from customer care get in touch with me since last 15min getting msg we were unable to find ur order 8839302762 asap pls,ORDER_STATUS,
13,@AmazonHelp Placed an Order On Sept 21. Not even dispatched YET. Everyone livin' in 2017 while @115850   is still stuck in the 90's.,ORDER_STATUS,
14,@AmazonHelp Yep it's been dispatched. However it does seem on my online banking that the order total has been deducted so I don't think it's my amazon order that's the issue... I think there may be an issue with my PayPal account but thank you!,ORDER_STATUS,
15,"@AmazonHelp Already called them and informed about this.. Bt no action yet...
Hopefully I would be able to celebrate diwali with this order...",ORDER_STATUS,
16,"@AmazonHelp It doesn’t go to checkout, it simply shows me my order again",ORDER_STATUS,
17,"A 3rd party vendor continues to send me harassing emails after a refund was issued by @115821 for an order not sent. How can I get them to stop contacting me? 
The vendor is Dimart. Order# 112-6013723-4262650 Thanks!",ORDER_STATUS,
18,"Love when I order something on @115821 and it says 'Guaranteed Delivery Thursday Nov 30' but then I check today and I get 'Arriving Nov 30 - Dec 1'.
Tracking says it's in Illinois right now. ☹️☹️☹️ I guess I can wait one more day...",ORDER_STATUS,
19,"@AmazonHelp 2 day shipping. But what I am getting at is, Amazon Prime is pretty much pointless if you're doing a morning order.",ORDER_STATUS,
20,@AmazonHelp Hi. I need to speak about an order I just placed. But your CC IVR won’t let me. Please help.,ORDER_STATUS,
21,@AmazonHelp Yeah I was told it would be here by 8pm and now it’s “delayed” but the info is so vague. And I’m confused why 2 day shipping isn’t really 2,DELIVERY_DELAY,
22,@AmazonHelp Sorry! Inconvenience! Please do something. 3 out of 3 orders delayed is pathetic and poor business. It says: Delayed. It is on the way. From Nov 15 to Nov 20. Now please tell me if you would call this good service!  What are we supposed to do? HELP,DELIVERY_DELAY,
23,"@115851 , dear sir good morning, my order delay from your side, please provide urgently, my contact no. 9323316333, 9555316333 https://t.co/zr7k94lrkr",DELIVERY_DELAY,
24,@AmazonHelp Just opened it. I think everything is there—no packing slip &amp; waiting on multiple orders. One of the book covers was beat up.,DELIVERY_DELAY,
25,@AmazonHelp Received 1call. agreed for re-investigation. Will wait up to 5 days max. @18220 @294530 @1754 @115850,DELIVERY_DELAY,
26,Getting fed up with @115830 deliveries getting later and later. 22.10 on a Sunday night!,DELIVERY_DELAY,
27,"Worst service @115850 @115851 got notification that package delievred but still waiting for it.. maybe amazon is doing fraud.
Order id: #405-9538894-7591516. Waiting for response",DELIVERY_DELAY,
28,@115830 still waiting for my package apparently left Preston at 9:45 another day wasted sat in waiting,DELIVERY_DELAY,
29,@AmazonHelp Are there any other options? I should get free returns if it arrives too late.,DELIVERY_DELAY,
30,My shipment on @117795 is late AGAIN and now @117093 is not working.... amazon is pissing me off.,DELIVERY_DELAY,
31,@AmazonHelp It said delayed to Oct 12 and there are no updates on it.,DELIVERY_DELAY,
32,"@AmazonHelp Yeah, I got it, eventually. Very late. But when I called to find out where the hell it was coz it was meant to be here by 8 the 2 advisors I had spoke to did not answer me at all. And just offered my 5 dollars even though I told him I'm a uk customer",DELIVERY_DELAY,
33,Congratulations @115821 you've been late on 2/3 of my last Amz deliveries. Glad I have to wait till tmrw instead of having gone to a store.,DELIVERY_DELAY,
34,"@AmazonHelp I’ll try later and let you know, thanks",DELIVERY_DELAY,
35,@115821 customer centric you are having a laugh. I gave up trying to connect to chat after my 3rd attempt &amp; a wait of 45 mins +,DELIVERY_DELAY,
36,"@115830 - absolutely disgusted with the service I have [not] received since order a tv.  You really don't care about the little guy... a week of failed deliveries, and i'm waiting again for a supervisor to call and probably lie to me again...",DELIVERY_DELAY,
37,@AmazonHelp wanted to say what a load of crap the person was couldn't wait yo get shot of me,DELIVERY_DELAY,
38,@115821 worst customer service. Been waiting 1 month 19 days for an item 2 b sent 2 now be told its out of stock Was in stock when I ordered,DELIVERY_DELAY,
39,when is my album going to be shipped amazon i'm waiting,DELIVERY_DELAY,
40,@115850 please upgrade servers. Amazonpay balance never gets updated in 15 mins. your customer care asks to wait for 2-4 hours. shabby!,DELIVERY_DELAY,
41,So @115830 this is how my purchase was delivered to me today. Definitely not big enough for the letterbox! https://t.co/he86x3oCgk,DELIVERY_PROBLEM,
42,@AmazonHelp what’s the chances of getting my package (same day delivery) by 9 when it hasn’t even been shipped? 😞 🤷🏼‍♀️,DELIVERY_PROBLEM,
43,@AmazonHelp Why is one day delivery even an option when Ontrac continously fails to deliver on time? https://t.co/rWY2VOgPEz,DELIVERY_PROBLEM,
44,"24 hrs post assured delivery date, still my order is not delivered by @115850, customer service says no update available as of now SHAME 😡",DELIVERY_PROBLEM,
45,"@AmazonHelp In all the times I’ve ordered, they’ve never just been placed at the door... they go over the back gate. Surely common sense tells a courier not to leave at a front door... on this occasion everything is there that’s been ordered.",DELIVERY_PROBLEM,
46,Slow clap for @115830 and @122232  for leaving a delivery in rain despite instructions to leave with a neighbour. Xmas presents ruined https://t.co/tQTU0iTtFy,DELIVERY_PROBLEM,
47,@115830 do you consider a communal area of a block of flats a safe place to leave a delivery? Especially when I am in the flat all day? Lucky my neighbours are not thieves.,DELIVERY_PROBLEM,
48,@115821 @126705 who do I talk to about getting my money back as my package is now stuck in Exeter since 3 am and won’t be coming to me tonight and I’ve already payed for the same day delivery?,DELIVERY_PROBLEM,
49,Amazon delivered my package to the wrong fucking house you had ONE JOB,DELIVERY_PROBLEM,
50,"@AmazonHelp We ordered something Friday, delivery date was today, waited Home all day just to see order update with “we made attempt” which clearly you did not, seems like delivery person you guys used didn’t feel like coming to this side of town tonight.. cont below",DELIVERY_PROBLEM,
51,"@AmazonHelp That it was out for delivery on the 26th Nov and then expected by 9pm 28th, nothing since",DELIVERY_PROBLEM,
52,"@AmazonHelp For clarity, I live in California, not Vegas. Anyone could tell the package was returned to you, not delivered. Except your rep, apparently",DELIVERY_PROBLEM,
53,Can’t believe @AmazonHelp didn’t guarantee my delivery of SMO today when they said when I pre-ordered in *MAY* that they would,DELIVERY_PROBLEM,
54,I'm meant to be in Glasgow now but I've been waiting for this package from amazon that's out for delivery and I'm fucking furious?,DELIVERY_PROBLEM,
55,@117093 Customer service FAIL.  Driver didn't p/u bags. CSR sez smtimes they are too lazy ? Eta: few DAYS! Fail https://t.co/AoGvBFLk4K,DELIVERY_PROBLEM,
56,Just got home. No package. Going to Best Buy because it says they still have copies of the special edition. Thanks @115828,DELIVERY_PROBLEM,
57,#AmazonIndia cannot contact my amzagnt... Unable to receive my parcel. Where can I get more help ? His phone has been off since yesterday.,DELIVERY_PROBLEM,
58,"Seriously, @3375??? How difficult is it to drop a package inside our lobby? cc @115821 @AmazonHelp #Lazy #Fail https://t.co/sYTUlG7AVq",DELIVERY_PROBLEM,
59,@AmazonHelp I received ANOTHER damaged #AmazonSubscribeAndSave  delivered by @118706 it was clearly marked as HEAVY &amp; delivered on its side.,DELIVERY_PROBLEM,
60,"@115830 Having issues with packages stuck during delivery. Order on 11th October using prime still out for delivery, not required anymore.",DELIVERY_PROBLEM,
61,@115850 courier partner cancels return pick up twice without calling.,REFUND_RETURN,
